Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
SNEA.SG01NAC16P10A15,2020.03,13698,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Dairy Products,,,
SNEA.SG01NAC16P10A16,2007.03,148,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2008.03,163,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2009.03,178,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2010.03,156,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2011.03,153,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2012.03,165,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2013.03,167,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2014.03,185,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2015.03,198,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2016.03,207,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2017.03,210,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2018.03,212,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2019.03,221,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A16,2020.03,231,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Poultry Products,,,
SNEA.SG01NAC16P10A17,2007.03,557,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2008.03,534,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2009.03,724,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2010.03,799,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2011.03,588,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2012.03,745,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2013.03,751,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2014.03,747,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2015.03,707,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2016.03,739,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2017.03,655,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2018.03,674,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2019.03,734,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A17,2020.03,729,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Crops and Seeds,,,
SNEA.SG01NAC16P10A18,2007.03,1660,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2008.03,1704,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2009.03,2102,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2010.03,1983,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2011.03,1869,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2012.03,2089,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2013.03,2000,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2014.03,2314,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2015.03,2796,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2016.03,3117,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2017.03,3538,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2018.03,3373,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2019.03,3986,REVISED,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A18,2020.03,4219,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,"Fruit, Nuts and Oil seeds",,,
SNEA.SG01NAC16P10A19,2007.03,808,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2008.03,965,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2009.03,922,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2010.03,988,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2011.03,1061,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2012.03,1018,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2013.03,987,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2014.03,1026,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2015.03,1011,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2016.03,1070,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2017.03,1089,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2018.03,1156,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2019.03,1156,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A19,2020.03,1199,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Vegetables,,,
SNEA.SG01NAC16P10A20,2007.03,285,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2008.03,296,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2009.03,272,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2010.03,259,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2011.03,243,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2012.03,251,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2013.03,325,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2014.03,361,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2015.03,423,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2016.03,484,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2017.03,451,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2018.03,580,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2019.03,560,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A20,2020.03,607,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Other Horticultural Products,,,
SNEA.SG01NAC16P10A21,2007.03,243,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Agricultural Services,,,
SNEA.SG01NAC16P10A21,2008.03,193,FINAL,Dollar,6,National Accounts - SNA 2008 - SNE,"Series, GDP(P), Nominal, Actual, Agricultural commodity type",Output,Agricultural Services,,,
